"OCID","CONTRACT_TITLE","CONTRACT_TYPE","PROCUREMENT_METHOD","BUYER_NAME","SUPPLIER_NAMES","CONTRACT_START_DATE","CONTRACT_END_DATE","CONTRACT_AMOUNT","CONTRACT_CURRENCY"
"E-2024-00023945","VILLEGAS HERNÁNDEZ VIRIDIANA AYERIM","Adquisiciones","ADJUDICACIÓN DIRECTA","E-Radio","VIRIDIANA AYERIM VILLEGAS HERNANDEZ",01/03/24,31/12/24,213646.18,"MXN"
"E-2024-00051347","SUPLEMENTO DE MEDIO DE CULTIVO","Adquisiciones","ADJUDICACIÓN DIRECTA","INPER","CONTROL TECNICO Y REPRESENTACIONES SA DE CV",29/04/24,12/07/24,31548,"MXN"
"E-2024-00054791","SUMINISTRO DE REACTIVOS PARA LA DETERMINACIÓN Y PROCESO DE CARGA VIRALES DE VIH","Adquisiciones","ADJUDICACIÓN DIRECTA","INCMNSZ","ABALAT SA DE CV",01/06/24,31/12/24,26544,"MXN"
"E-2024-00054791","SUMINISTRO DE REACTIVOS PARA LA DETERMINACIÓN Y PROCESO DE CARGA VIRALES DE VIH","Adquisiciones","ADJUDICACIÓN DIRECTA","INCMNSZ","ABALAT SA DE CV",01/06/24,31/12/24,60891,"MXN"
"E-2024-00054791","SUMINISTRO DE REACTIVOS PARA LA DETERMINACIÓN Y PROCESO DE CARGA VIRALES DE VIH","Adquisiciones","ADJUDICACIÓN DIRECTA","INCMNSZ","ABALAT SA DE CV",01/06/24,31/12/24,121782,"MXN"
"E-2024-00013460","SERVICIOS PROFESIONALES DE MÉDICO ESPECIALISTA EN GINECOLOGÍA Y OBSTETRICIA, EMB","Adquisiciones","ADJUDICACIÓN DIRECTA","INPER","CYNTHIA JAZMIN P. VEGA",29/01/24,30/04/24,105840,"MXN"
"E-2024-00053617","SERVICIOS PROFESIONALES DE MÉDICO ESPECIALISTA EN GINECOLOGÍA Y OBSTETRICIA, EMB","Adquisiciones","ADJUDICACIÓN DIRECTA","INPER","CYNTHIA JAZMIN P. VEGA",01/05/24,31/12/24,317520,"MXN"
"E-2024-00031687","SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR EN EL CENTRO DE CULTURA DIGITA","Adquisiciones","ADJUDICACIÓN DIRECTA","CULTURA","YOTZIN NEKIZ VIACOBO HUITRON",01/04/24,30/11/24,276698.28,"MXN"
"E-2024-00002243","SERVICIOS PROFESIONALES","Adquisiciones","ADJUDICACIÓN DIRECTA","IMCINE","JUAN CARLOS VILCHIS HERNANDEZ",10/01/24,29/02/24,35912.09,"MXN"
"E-2024-00015195","SERVICIOS PROFESIONALES","Adquisiciones","ADJUDICACIÓN DIRECTA","IMCINE","JUAN CARLOS VILCHIS HERNANDEZ",01/03/24,31/12/24,208452.44,"MXN"
